,gene,Symbol,description
174,ENSMUSG00000060063,Alox5ap,arachidonate 5-lipoxygenase activating protein
176,ENSMUSG00000040888,Gfer,"growth factor, augmenter of liver regeneration"
177,ENSMUSG00000014603,Alx3,aristaless-like homeobox 3
178,ENSMUSG00000040310,Alx4,aristaless-like homeobox 4
180,ENSMUSG00000029288,Ambn,ameloblastin
181,ENSMUSG00000028356,Ambp,alpha 1 microglobulin/bikunin precursor
184,ENSMUSG00000075232,Amd1,S-adenosylmethionine decarboxylase 1
185,ENSMUSG00000031354,Amelx,"amelogenin, X-linked"
186,ENSMUSG00000035262,Amh,anti-Mullerian hormone
187,ENSMUSG00000005686,Ampd3,adenosine monophosphate deaminase 3
188,ENSMUSG00000037798,Mat1a,"methionine adenosyltransferase I, alpha"
189,ENSMUSG00000074264,Amy1,"amylase 1, salivary"
190,ENSMUSG00000072115,Ang,"angiogenin, ribonuclease, RNase A family, 5"
193,ENSMUSG00000047894,Ang2,"angiogenin, ribonuclease A family, member 2"
194,ENSMUSG00000022265,Ank,progressive ankylosis
195,ENSMUSG00000031543,Ank1,"ankyrin 1, erythroid"
196,ENSMUSG00000069601,Ank3,"ankyrin 3, epithelial"
197,ENSMUSG00000020790,Ankfy1,ankyrin repeat and FYVE domain containing 1
198,ENSMUSG00000032249,Anp32a,"acidic (leucine-rich) nuclear phosphoprotein 32 family, member A"
199,ENSMUSG00000031633,Slc25a4,"solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 4"
200,ENSMUSG00000016319,Slc25a5,"solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 5"
202,ENSMUSG00000021866,Anxa11,annexin A11
203,ENSMUSG00000029484,Anxa3,annexin A3
204,ENSMUSG00000029994,Anxa4,annexin A4
205,ENSMUSG00000027712,Anxa5,annexin A5
206,ENSMUSG00000018340,Anxa6,annexin A6
207,ENSMUSG00000021814,Anxa7,annexin A7
208,ENSMUSG00000021950,Anxa8,annexin A8
210,ENSMUSG00000019326,Aoc3,"amine oxidase, copper containing 3"
211,ENSMUSG00000024997,Prdx3,peroxiredoxin 3
212,ENSMUSG00000026701,Prdx6,peroxiredoxin 6
213,ENSMUSG00000063558,Aox1,aldehyde oxidase 1
215,ENSMUSG00000009090,Ap1b1,"adaptor protein complex AP-1, beta 1 subunit"
216,ENSMUSG00000031731,Ap1g1,"adaptor protein complex AP-1, gamma 1 subunit"
217,ENSMUSG00000040701,Ap1g2,"adaptor protein complex AP-1, gamma 2 subunit"
218,ENSMUSG00000003033,Ap1m1,"adaptor-related protein complex AP-1, mu subunit 1"
219,ENSMUSG00000003309,Ap1m2,"adaptor protein complex AP-1, mu 2 subunit"
220,ENSMUSG00000004849,Ap1s1,"adaptor protein complex AP-1, sigma 1"
221,ENSMUSG00000062515,Fabp4,"fatty acid binding protein 4, adipocyte"
222,ENSMUSG00000060279,Ap2a1,"adaptor-related protein complex 2, alpha 1 subunit"
223,ENSMUSG00000002957,Ap2a2,"adaptor-related protein complex 2, alpha 2 subunit"
224,ENSMUSG00000022841,Ap2m1,"adaptor-related protein complex 2, mu 1 subunit"
225,ENSMUSG00000021686,Ap3b1,"adaptor-related protein complex 3, beta 1 subunit"
226,ENSMUSG00000062444,Ap3b2,"adaptor-related protein complex 3, beta 2 subunit"
227,ENSMUSG00000020198,Ap3d1,"adaptor-related protein complex 3, delta 1 subunit"
228,ENSMUSG00000024480,Ap3s1,"adaptor-related protein complex 3, sigma 1 subunit"
229,ENSMUSG00000063801,Ap3s2,"adaptor-related protein complex 3, sigma 2 subunit"
230,ENSMUSG00000019518,Ap4m1,"adaptor-related protein complex AP-4, mu 1"
231,ENSMUSG00000020955,Ap4s1,"adaptor-related protein complex AP-4, sigma 1"
232,ENSMUSG00000019979,Apaf1,apoptotic peptidase activating factor 1
233,ENSMUSG00000030519,Apba2,"amyloid beta (A4) precursor protein-binding, family A, member 2"
234,ENSMUSG00000037032,Apbb1,"amyloid beta (A4) precursor protein-binding, family B, member 1"
235,ENSMUSG00000029207,Apbb2,"amyloid beta (A4) precursor protein-binding, family B, member 2"
236,ENSMUSG00000005871,Apc,"APC, WNT signaling pathway regulator"
237,ENSMUSG00000026207,Speg,SPEG complex locus
238,ENSMUSG00000035960,Apex1,apurinic/apyrimidinic endonuclease 1
239,ENSMUSG00000038160,Atg5,autophagy related 5
240,ENSMUSG00000032000,Birc3,baculoviral IAP repeat-containing 3
241,ENSMUSG00000057367,Birc2,baculoviral IAP repeat-containing 2
242,ENSMUSG00000025860,Xiap,X-linked inhibitor of apoptosis
243,ENSMUSG00000017716,Birc5,baculoviral IAP repeat-containing 5
244,ENSMUSG00000027193,Api5,apoptosis inhibitor 5
245,ENSMUSG00000015854,Cd5l,CD5 antigen-like
246,ENSMUSG00000006651,Aplp1,amyloid beta (A4) precursor-like protein 1
247,ENSMUSG00000031996,Aplp2,amyloid beta (A4) precursor-like protein 2
248,ENSMUSG00000032083,Apoa1,apolipoprotein A-I
249,ENSMUSG00000005681,Apoa2,apolipoprotein A-II
250,ENSMUSG00000032080,Apoa4,apolipoprotein A-IV
251,ENSMUSG00000040613,Apobec1,"apolipoprotein B mRNA editing enzyme, catalytic polypeptide 1"
252,ENSMUSG00000040694,Apobec2,"apolipoprotein B mRNA editing enzyme, catalytic polypeptide 2"
253,ENSMUSG00000040564,Apoc1,apolipoprotein C-I
254,ENSMUSG00000002992,Apoc2,apolipoprotein C-II
255,ENSMUSG00000032081,Apoc3,apolipoprotein C-III
256,ENSMUSG00000022548,Apod,apolipoprotein D
257,ENSMUSG00000002985,Apoe,apolipoprotein E
258,ENSMUSG00000000049,Apoh,apolipoprotein H
259,ENSMUSG00000030551,Nr2f2,"nuclear receptor subfamily 2, group F, member 2"
260,ENSMUSG00000022892,App,amyloid beta (A4) precursor protein
261,ENSMUSG00000006589,Aprt,adenine phosphoribosyl transferase
262,ENSMUSG00000004655,Aqp1,aquaporin 1
263,ENSMUSG00000023013,Aqp2,aquaporin 2
264,ENSMUSG00000028435,Aqp3,aquaporin 3
265,ENSMUSG00000024411,Aqp4,aquaporin 4
266,ENSMUSG00000044217,Aqp5,aquaporin 5
267,ENSMUSG00000043144,Aqp6,aquaporin 6
268,ENSMUSG00000028427,Aqp7,aquaporin 7
269,ENSMUSG00000030762,Aqp8,aquaporin 8
270,ENSMUSG00000040383,Aqr,aquarius
271,ENSMUSG00000046532,Ar,androgen receptor
272,ENSMUSG00000001127,Araf,"Araf proto-oncogene, serine/threonine kinase"
273,ENSMUSG00000067274,Rplp0,"ribosomal protein, large, P0"
274,ENSMUSG00000022602,Arc,activity regulated cytoskeletal-associated protein
275,ENSMUSG00000029378,Areg,amphiregulin
276,ENSMUSG00000048076,Arf1,ADP-ribosylation factor 1
277,ENSMUSG00000062421,Arf2,ADP-ribosylation factor 2
278,ENSMUSG00000051853,Arf3,ADP-ribosylation factor 3
279,ENSMUSG00000021877,Arf4,ADP-ribosylation factor 4
280,ENSMUSG00000020440,Arf5,ADP-ribosylation factor 5
281,ENSMUSG00000044147,Arf6,ADP-ribosylation factor 6
282,ENSMUSG00000019987,Arg1,"arginase, liver"
283,ENSMUSG00000021125,Arg2,arginase type II
284,ENSMUSG00000007815,Rhoa,ras homolog family member A
288,ENSMUSG00000054364,Rhob,ras homolog family member B
289,ENSMUSG00000002233,Rhoc,ras homolog family member C
290,ENSMUSG00000041845,Rhod,ras homolog family member D
291,ENSMUSG00000035133,Arhgap5,Rho GTPase activating protein 5
292,ENSMUSG00000031355,Arhgap6,Rho GTPase activating protein 6
293,ENSMUSG00000030220,Arhgdib,"Rho, GDP dissociation inhibitor (GDI) beta"
294,ENSMUSG00000001313,Rnd2,Rho family GTPase 2
295,ENSMUSG00000007946,Phox2a,paired-like homeobox 2a
296,ENSMUSG00000047446,Arl4a,ADP-ribosylation factor-like 4A
297,ENSMUSG00000015522,Arnt,aryl hydrocarbon receptor nuclear translocator
298,ENSMUSG00000015709,Arnt2,aryl hydrocarbon receptor nuclear translocator 2
299,ENSMUSG00000055116,Arntl,aryl hydrocarbon receptor nuclear translocator-like
300,ENSMUSG00000029622,Arpc1b,"actin related protein 2/3 complex, subunit 1B"
301,ENSMUSG00000030996,Art1,ADP-ribosyltransferase 1
302,ENSMUSG00000092517,Art2a,ADP-ribosyltransferase 2a
303,ENSMUSG00000030651,Art2b,ADP-ribosyltransferase 2b
304,ENSMUSG00000070424,Art5,ADP-ribosyltransferase 5
305,ENSMUSG00000028539,Artn,artemin
306,ENSMUSG00000000325,Arvcf,armadillo repeat gene deleted in velocardiofacial syndrome
307,ENSMUSG00000035277,Arx,aristaless related homeobox
308,ENSMUSG00000042082,Arsb,arylsulfatase B
309,ENSMUSG00000022620,Arsa,arylsulfatase A
311,ENSMUSG00000031591,Asah1,N-acylsphingosine amidohydrolase 1
312,ENSMUSG00000020884,Asgr1,asialoglycoprotein receptor 1
313,ENSMUSG00000040963,Asgr2,asialoglycoprotein receptor 2
314,ENSMUSG00000032202,Rab27a,"RAB27A, member RAS oncogene family"
318,ENSMUSG00000076441,Ass1,argininosuccinate synthetase 1
319,ENSMUSG00000026587,Astn1,astrotactin 1
321,ENSMUSG00000026715,Serpinc1,"serine (or cysteine) peptidase inhibitor, clade C (antithrombin), member 1"
322,ENSMUSG00000038872,Zfhx3,zinc finger homeobox 3
323,ENSMUSG00000030850,Ate1,arginyltransferase 1
324,ENSMUSG00000023027,Atf1,activating transcription factor 1
325,ENSMUSG00000027104,Atf2,activating transcription factor 2
326,ENSMUSG00000026628,Atf3,activating transcription factor 3
327,ENSMUSG00000042406,Atf4,activating transcription factor 4
328,ENSMUSG00000034218,Atm,ataxia telangiectasia mutated
329,ENSMUSG00000073043,Atoh1,atonal bHLH transcription factor 1
330,ENSMUSG00000037984,Neurod6,neurogenic differentiation 6
331,ENSMUSG00000048015,Neurod4,neurogenic differentiation 4
332,ENSMUSG00000027967,Neurog2,neurogenin 2
333,ENSMUSG00000044312,Neurog3,neurogenin 3
334,ENSMUSG00000018585,Atox1,antioxidant 1 copper chaperone
335,ENSMUSG00000033161,Atp1a1,"ATPase, Na+/K+ transporting, alpha 1 polypeptide"
336,ENSMUSG00000026576,Atp1b1,"ATPase, Na+/K+ transporting, beta 1 polypeptide"
337,ENSMUSG00000041329,Atp1b2,"ATPase, Na+/K+ transporting, beta 2 polypeptide"
338,ENSMUSG00000032412,Atp1b3,"ATPase, Na+/K+ transporting, beta 3 polypeptide"
339,ENSMUSG00000059412,Fxyd2,FXYD domain-containing ion transport regulator 2
340,ENSMUSG00000030730,Atp2a1,"ATPase, Ca++ transporting, cardiac muscle, fast twitch 1"
341,ENSMUSG00000029467,Atp2a2,"ATPase, Ca++ transporting, cardiac muscle, slow twitch 2"
342,ENSMUSG00000030302,Atp2b2,"ATPase, Ca++ transporting, plasma membrane 2"
343,ENSMUSG00000005553,Atp4a,"ATPase, H+/K+ exchanging, gastric, alpha polypeptide"
344,ENSMUSG00000031449,Atp4b,"ATPase, H+/K+ exchanging, beta polypeptide"
345,ENSMUSG00000025428,Atp5a1,"ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1"
346,ENSMUSG00000025393,Atp5b,"ATP synthase, H+ transporting mitochondrial F1 complex, beta subunit"
347,ENSMUSG00000025781,Atp5c1,"ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1"
348,ENSMUSG00000000563,Atp5pb,ATP synthase peripheral stalk-membrane subunit b
349,ENSMUSG00000006057,Atp5g1,"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C1 (subunit 9)"
350,ENSMUSG00000022890,Atp5j,"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F"
351,ENSMUSG00000050856,Atp5k,"ATP synthase, H+ transporting, mitochondrial F1F0 complex, subunit E"
352,ENSMUSG00000052459,Atp6v1a,"ATPase, H+ transporting, lysosomal V1 subunit A"
353,ENSMUSG00000006273,Atp6v1b2,"ATPase, H+ transporting, lysosomal V1 subunit B2"
354,ENSMUSG00000013160,Atp6v0d1,"ATPase, H+ transporting, lysosomal V0 subunit D1"
355,ENSMUSG00000019210,Atp6v1e1,"ATPase, H+ transporting, lysosomal V1 subunit E1"
356,ENSMUSG00000015575,Atp6v0e,"ATPase, H+ transporting, lysosomal V0 subunit E"
357,ENSMUSG00000019302,Atp6v0a1,"ATPase, H+ transporting, lysosomal V0 subunit A1"
358,ENSMUSG00000033792,Atp7a,"ATPase, Cu++ transporting, alpha polypeptide"
359,ENSMUSG00000006567,Atp7b,"ATPase, Cu++ transporting, beta polypeptide"
360,ENSMUSG00000037685,Atp8a1,"ATPase, aminophospholipid transporter (APLT), class I, type 8A, member 1"
361,ENSMUSG00000027546,Atp9a,"ATPase, class II, type 9A"
362,ENSMUSG00000025324,Atp10a,"ATPase, class V, type 10A"
363,ENSMUSG00000054428,Atpif1,ATPase inhibitory factor 1
364,ENSMUSG00000024121,Atp6v0c,"ATPase, H+ transporting, lysosomal V0 subunit C"
365,ENSMUSG00000041313,Slc7a1,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 1"
366,ENSMUSG00000031596,Slc7a2,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 2"
367,ENSMUSG00000031297,Slc7a3,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 3"
368,ENSMUSG00000027312,Atrn,attractin
369,ENSMUSG00000000568,Hnrnpd,heterogeneous nuclear ribonucleoprotein D
370,ENSMUSG00000021460,Auh,AU RNA binding protein/enoyl-coenzyme A hydratase
371,ENSMUSG00000068328,Aup1,ancient ubiquitous protein 1
372,ENSMUSG00000052613,Pcdh15,protocadherin 15
373,ENSMUSG00000052131,Akr1b7,"aldo-keto reductase family 1, member B7"
374,ENSMUSG00000037727,Avp,arginine vasopressin
375,ENSMUSG00000031390,Avpr2,arginine vasopressin receptor 2
377,ENSMUSG00000024182,Axin1,axin 1
378,ENSMUSG00000000142,Axin2,axin 2
379,ENSMUSG00000037053,Azgp1,"alpha-2-glycoprotein 1, zinc"
380,ENSMUSG00000039781,Cep131,centrosomal protein 131
381,ENSMUSG00000060802,B2m,beta-2 microglobulin
383,ENSMUSG00000039653,Baat,bile acid-Coenzyme A: amino acid N-acyltransferase
384,ENSMUSG00000025612,Bach1,"BTB and CNC homology 1, basic leucine zipper transcription factor 1"
385,ENSMUSG00000040270,Bach2,"BTB and CNC homology, basic leucine zipper transcription factor 2"
386,ENSMUSG00000024959,Bad,BCL2-associated agonist of cell death
388,ENSMUSG00000028416,Bag1,BCL2-associated athanogene 1
389,ENSMUSG00000057789,Bak1,BCL2-antagonist/killer 1
390,ENSMUSG00000049691,Nkx3-2,NK3 homeobox 2
391,ENSMUSG00000026196,Bard1,BRCA1 associated RING domain 1
392,ENSMUSG00000021381,Barx1,BarH-like homeobox 1
393,ENSMUSG00000032033,Barx2,BarH-like homeobox 2
394,ENSMUSG00000003873,Bax,BCL2-associated X protein
395,ENSMUSG00000000317,Bcl6b,"B cell CLL/lymphoma 6, member B"
397,ENSMUSG00000004892,Bcan,brevican
